x,E(x),H(x)
0,100,0.506455
0.01,97.55533323,0.484286
0.02,94.21291799,0.458049
0.03,90.04151721,0.428168
0.04,85.11566437,0.395088
0.05,79.5146818,0.35927
0.06,73.32168841,0.321184
0.07,66.62260703,0.281305
0.08,59.50518187,0.240109
0.09,52.05801532,0.198066
0.1,44.36963341,0.155635
0.11,36.52758824,0.113265
0.12,28.61760502,0.071382
0.13,20.72278073,0.030396
0.14,12.92284059,-0.009313
0.15,5.293457589,-0.04739
0.16,-2.094360437,-0.08351
0.17,-9.174812493,-0.117382
0.18,-15.8877722,-0.148749
0.19,-22.17917971,-0.177388
0.2,-28.00135677,-0.203113
0.21,-33.31324462,-0.225776
0.22,-38.08056537,-0.245265
0.23,-42.27590813,-0.261504
0.24,-45.87874199,-0.274454
0.25,-48.87535846,-0.28411
0.26,-51.25874675,-0.290503
0.27,-53.02840575,-0.293693
0.28,-54.1900971,-0.293771
0.29,-54.75554403,-0.290859
0.3,-54.74208132,-0.2851
0.31,-54.17226163,-0.276663
0.32,-53.07342405,-0.26574
0.33,-51.47723069,-0.252535
0.34,-49.41917713,-0.237273
0.35,-46.93808297,-0.220189
0.36,-44.07556815,-0.201525
0.37,-40.8755212,-0.181535
0.38,-37.38356487,-0.160472
0.39,-33.64652491,-0.138592
0.4,-29.71190712,-0.116149
0.41,-25.62738777,-0.093394
0.42,-21.44032198,-0.070569
0.43,-17.19727443,-0.047911
0.44,-12.9435763,-0.025642
0.45,-8.722911845,-0.003975
0.46,-4.576937809,0.016893
0.47,-0.544938149,0.036782
0.48,3.336483706,0.055526
0.49,7.033673427,0.07298
0.5,10.51615395,0.089015
0.51,13.75681249,0.103524
0.52,16.73204607,0.116418
0.53,19.42186575,0.127629
0.54,21.80996003,0.137107
0.55,23.88371835,0.144824
0.56,25.63421615,0.150768
0.57,27.05616284,0.154948
0.58,28.14781498,0.157391
0.59,28.91085666,0.158137
0.6,29.35024961,0.157246
0.61,29.47405586,0.15479
0.62,29.29323564,0.150855
0.63,28.82142372,0.145537
0.64,28.07468709,0.138944
0.65,27.07126737,0.131194
0.66,25.83131103,0.122409
0.67,24.37659067,0.112718
0.68,22.73022062,0.102257
0.69,20.91636979,0.09116
0.7,18.95997501,0.079566
0.71,16.88645761,0.067611
0.72,14.72144604,0.055431
0.73,12.49050716,0.043159
0.74,10.21888853,0.030923
0.75,7.931273934,0.018846
0.76,5.651554104,0.007045
0.77,3.402614404,-0.00437
0.78,1.206140942,-0.015299
0.79,-0.917553599,-0.02565
0.8,-2.949683418,-0.035338
0.81,-4.873121577,-0.044292
0.82,-6.672509995,-0.052449
0.83,-8.334347197,-0.059756
0.84,-9.847053767,-0.066173
0.85,-11.20101572,-0.071667
0.86,-12.38860621,-0.076221
0.87,-13.40418615,-0.079822
0.88,-14.24408463,-0.082472
0.89,-14.90656005,-0.08418
0.9,-15.39174313,-0.084966
0.91,-15.70156308,-0.084857
0.92,-15.83965833,-0.083889
0.93,-15.81127335,-0.082105
0.94,-15.6231431,-0.079555
0.95,-15.28336682,-0.076295
0.96,-14.80127278,-0.072384
0.97,-14.18727586,-0.067889
0.98,-13.45272943,-0.062877
0.99,-12.60977363,-0.057419
1,-11.6711813,-0.051589
1.01,-10.65020364,-0.04546
1.02,-9.560416805,-0.039105
1.03,-8.415571279,-0.032599
1.04,-7.229445207,-0.026013
1.05,-6.015703176,-0.019418
1.06,-4.787761602,-0.01288
1.07,-3.558661859,-0.006464
1.08,-2.340952134,-0.000231
1.09,-1.146578873,0.005762
1.1,0.013211449,0.011466
1.11,1.12795963,0.016831
1.12,2.188069658,0.021818
1.13,3.184872903,0.02639
1.14,4.110680398,0.030516
1.15,4.958823115,0.034172
1.16,5.723680326,0.037339
1.17,6.40069618,0.040003
1.18,6.986384823,0.042158
1.19,7.478324423,0.0438
1.2,7.875140613,0.044933
1.21,8.176479908,0.045564
1.22,8.382973773,0.045708
1.23,8.496194066,0.045382
1.24,8.518600628,0.044606
1.25,8.453481883,0.043407
